Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Epoch:  9750 	Loss:  2.302576780319214
Epoch:  9760 	Loss:  2.3025877475738525
Epoch:  9770 	Loss:  2.302588939666748
Epoch:  9780 	Loss:  2.3026320934295654
Epoch:  9790 	Loss:  2.30265736579895
Epoch:  9800 	Loss:  2.3026347160339355
Epoch:  9810 	Loss:  2.302731990814209
Epoch:  9820 	Loss:  2.302504062652588
Epoch:  9830 	Loss:  2.302532911300659
Epoch:  9840 	Loss:  2.302684783935547
Epoch:  9850 	Loss:  2.302551746368408
Epoch:  9860 	Loss:  2.3026041984558105
Epoch:  9870 	Loss:  2.302626609802246
Epoch:  9880 	Loss:  2.302609920501709
Epoch:  9890 	Loss:  2.302598714828491
Epoch:  9900 	Loss:  2.3025898933410645
Epoch:  9910 	Loss:  2.3026416301727295
Epoch:  9920 	Loss:  2.3026371002197266
Epoch:  9930 	Loss:  2.302621603012085
Epoch:  9940 	Loss:  2.302528142929077
Epoch:  9950 	Loss:  2.3026835918426514
Epoch:  9960 	Loss:  2.3025853633880615
Epoch:  9970 	Loss:  2.302635669708252
Epoch:  9980 	Loss:  2.302704095840454
Epoch:  9990 	Loss:  2.3025879859924316
Epoch:  10000 	Loss:  2.3026301860809326
Epoch:  10010 	Loss:  2.3026790618896484
Epoch:  10020 	Loss:  2.3025474548339844
Epoch:  10030 	Loss:  2.3026492595672607
Epoch:  10040 	Loss:  2.3025691509246826
Epoch:  10050 	Loss:  2.3026320934295654
Epoch:  10060 	Loss:  2.302670955657959
Epoch:  10070 	Loss:  2.3025588989257812
Epoch:  10080 	Loss:  2.3025872707366943
Epoch:  10090 	Loss:  2.302685499191284
Epoch:  10100 	Loss:  2.302643060684204
Epoch:  10110 	Loss:  2.3025784492492676
Epoch:  10120 	Loss:  2.3025994300842285
Epoch:  10130 	Loss:  2.3026225566864014
Epoch:  10140 	Loss:  2.3027758598327637
Epoch:  10150 	Loss:  2.3026442527770996
Epoch:  10160 	Loss:  2.3026232719421387
Epoch:  10170 	Loss:  2.3025736808776855
Epoch:  10180 	Loss:  2.3026700019836426
Epoch:  10190 	Loss:  2.3026845455169678
Epoch:  10200 	Loss:  2.302577495574951
Epoch:  10210 	Loss:  2.302680015563965
Epoch:  10220 	Loss:  2.3025786876678467
Epoch:  10230 	Loss:  2.3025498390197754
Epoch:  10240 	Loss:  2.3025870323181152
Epoch:  10250 	Loss:  2.302703380584717
Epoch:  10260 	Loss:  2.3025763034820557
Epoch:  10270 	Loss:  2.3026371002197266
Epoch:  10280 	Loss:  2.3025670051574707
Epoch:  10290 	Loss:  2.3025691509246826
Epoch:  10300 	Loss:  2.3026721477508545
Epoch:  10310 	Loss:  2.3026652336120605
Epoch:  10320 	Loss:  2.302654266357422
Epoch:  10330 	Loss:  2.3026766777038574
Epoch:  10340 	Loss:  2.30256986618042
Epoch:  10350 	Loss:  2.302743434906006
Epoch:  10360 	Loss:  2.3025355339050293
Epoch:  10370 	Loss:  2.3027071952819824
Epoch:  10380 	Loss:  2.3026247024536133
Epoch:  10390 	Loss:  2.302546977996826
Epoch:  10400 	Loss:  2.30257511138916
Epoch:  10410 	Loss:  2.302673816680908
Epoch:  10420 	Loss:  2.3026492595672607
Epoch:  10430 	Loss:  2.302656650543213
Epoch:  10440 	Loss:  2.30255389213562
Epoch:  10450 	Loss:  2.302656650543213
Epoch:  10460 	Loss:  2.3026070594787598
Epoch:  10470 	Loss:  2.3026254177093506
Epoch:  10480 	Loss:  2.3026418685913086
Epoch:  10490 	Loss:  2.302736759185791
Epoch:  10500 	Loss:  2.302621841430664
Epoch:  10510 	Loss:  2.3026015758514404
Epoch:  10520 	Loss:  2.302619218826294
Epoch:  10530 	Loss:  2.3025856018066406
Epoch:  10540 	Loss:  2.302623987197876
Epoch:  10550 	Loss:  2.302626609802246
Epoch:  10560 	Loss:  2.302628993988037
Epoch:  10570 	Loss:  2.302724838256836
Epoch:  10580 	Loss:  2.30256986618042
Epoch:  10590 	Loss:  2.302567481994629
Epoch:  10600 	Loss:  2.302607536315918
Epoch:  10610 	Loss:  2.3025972843170166
Epoch:  10620 	Loss:  2.3025565147399902
Epoch:  10630 	Loss:  2.302541732788086
Epoch:  10640 	Loss:  2.302642345428467
Epoch:  10650 	Loss:  2.302628755569458
Epoch:  10660 	Loss:  2.302670955657959
Epoch:  10670 	Loss:  2.302715539932251
Epoch:  10680 	Loss:  2.302680253982544
Epoch:  10690 	Loss:  2.302611827850342
Epoch:  10700 	Loss:  2.3025975227355957
Epoch:  10710 	Loss:  2.3025941848754883
Epoch:  10720 	Loss:  2.3026487827301025
Epoch:  10730 	Loss:  2.302725315093994
Epoch:  10740 	Loss:  2.302607536315918
Epoch:  10750 	Loss:  2.302544355392456
Epoch:  10760 	Loss:  2.3026516437530518
Epoch:  10770 	Loss:  2.3026299476623535
Epoch:  10780 	Loss:  2.3024914264678955
Epoch:  10790 	Loss:  2.302539348602295
Epoch:  10800 	Loss:  2.3025424480438232
Epoch:  10810 	Loss:  2.3025994300842285
Epoch:  10820 	Loss:  2.3026504516601562
Epoch:  10830 	Loss:  2.3025243282318115
Epoch:  10840 	Loss:  2.302582263946533
Epoch:  10850 	Loss:  2.302626371383667
Epoch:  10860 	Loss:  2.302588701248169
Epoch:  10870 	Loss:  2.3026070594787598
Epoch:  10880 	Loss:  2.3025641441345215
Epoch:  10890 	Loss:  2.3026161193847656
Epoch:  10900 	Loss:  2.30254864692688
Epoch:  10910 	Loss:  2.3025989532470703
Epoch:  10920 	Loss:  2.302659034729004
Epoch:  10930 	Loss:  2.302548885345459
Epoch:  10940 	Loss:  2.302593946456909
Epoch:  10950 	Loss:  2.302673101425171
Epoch:  10960 	Loss:  2.302659034729004
Epoch:  10970 	Loss:  2.3024754524230957
Epoch:  10980 	Loss:  2.3026514053344727
Epoch:  10990 	Loss:  2.3025131225585938
Epoch:  11000 	Loss:  2.3027095794677734
Epoch:  11010 	Loss:  2.30269193649292
Epoch:  11020 	Loss:  2.302651882171631
Epoch:  11030 	Loss:  2.3026108741760254
Epoch:  11040 	Loss:  2.302611827850342
Epoch:  11050 	Loss:  2.3027536869049072
Epoch:  11060 	Loss:  2.3024940490722656
Epoch:  11070 	Loss:  2.3025577068328857
Epoch:  11080 	Loss:  2.3026645183563232
Epoch:  11090 	Loss:  2.3026185035705566
Epoch:  11100 	Loss:  2.3025717735290527
Epoch:  11110 	Loss:  2.3025267124176025
Epoch:  11120 	Loss:  2.3026671409606934
Epoch:  11130 	Loss:  2.302672863006592
Epoch:  11140 	Loss:  2.3026461601257324
Epoch:  11150 	Loss:  2.302600860595703
Epoch:  11160 	Loss:  2.302579879760742
Epoch:  11170 	Loss:  2.3026981353759766
Epoch:  11180 	Loss:  2.302640914916992
Epoch:  11190 	Loss:  2.3025619983673096
Epoch:  11200 	Loss:  2.3025920391082764
Epoch:  11210 	Loss:  2.302563428878784
Epoch:  11220 	Loss:  2.3026835918426514
Epoch:  11230 	Loss:  2.302521228790283
Epoch:  11240 	Loss:  2.3026652336120605
Epoch:  11250 	Loss:  2.3025496006011963
Epoch:  11260 	Loss:  2.302582263946533
Epoch:  11270 	Loss:  2.302513599395752
Epoch:  11280 	Loss:  2.3026347160339355
Epoch:  11290 	Loss:  2.3025050163269043
Epoch:  11300 	Loss:  2.3025739192962646
Epoch:  11310 	Loss:  2.302624225616455
Epoch:  11320 	Loss:  2.302624225616455
Epoch:  11330 	Loss:  2.3025615215301514
Epoch:  11340 	Loss:  2.3025715351104736
Epoch:  11350 	Loss:  2.302719831466675
Epoch:  11360 	Loss:  2.3025922775268555
Epoch:  11370 	Loss:  2.3025457859039307
Epoch:  11380 	Loss:  2.302557945251465
Epoch:  11390 	Loss:  2.3026504516601562
Epoch:  11400 	Loss:  2.3026623725891113
Epoch:  11410 	Loss:  2.302689552307129
Epoch:  11420 	Loss:  2.3025717735290527
Epoch:  11430 	Loss:  2.302633047103882
Epoch:  11440 	Loss:  2.3026938438415527
Epoch:  11450 	Loss:  2.302640676498413
Epoch:  11460 	Loss:  2.3026177883148193
Epoch:  11470 	Loss:  2.302600145339966
Epoch:  11480 	Loss:  2.3025412559509277
Epoch:  11490 	Loss:  2.302640438079834
Epoch:  11500 	Loss:  2.302603244781494
Epoch:  11510 	Loss:  2.3026041984558105
Epoch:  11520 	Loss:  2.3025898933410645
Epoch:  11530 	Loss:  2.3025832176208496
Epoch:  11540 	Loss:  2.3027901649475098
Epoch:  11550 	Loss:  2.3025708198547363
Epoch:  11560 	Loss:  2.3026397228240967
Epoch:  11570 	Loss:  2.302609443664551
Epoch:  11580 	Loss:  2.3026111125946045
Epoch:  11590 	Loss:  2.3025567531585693
Epoch:  11600 	Loss:  2.3027524948120117
Epoch:  11610 	Loss:  2.302593231201172
Epoch:  11620 	Loss:  2.3025519847869873
Epoch:  11630 	Loss:  2.302618980407715
Epoch:  11640 	Loss:  2.3025503158569336
Epoch:  11650 	Loss:  2.302661418914795
Epoch:  11660 	Loss:  2.3026480674743652
Epoch:  11670 	Loss:  2.302619457244873
Epoch:  11680 	Loss:  2.3026623725891113
Epoch:  11690 	Loss:  2.302677869796753
Epoch:  11700 	Loss:  2.302584648132324
Epoch:  11710 	Loss:  2.302626132965088
Epoch:  11720 	Loss:  2.3026206493377686
Epoch:  11730 	Loss:  2.3026232719421387
Epoch:  11740 	Loss:  2.3026394844055176
Epoch:  11750 	Loss:  2.302605152130127
Epoch:  11760 	Loss:  2.3025567531585693
Epoch:  11770 	Loss:  2.302741289138794
Epoch:  11780 	Loss:  2.3025991916656494
Epoch:  11790 	Loss:  2.302720546722412
Epoch:  11800 	Loss:  2.3026721477508545
Epoch:  11810 	Loss:  2.302598476409912
Epoch:  11820 	Loss:  2.302633285522461
Epoch:  11830 	Loss:  2.302558422088623
Epoch:  11840 	Loss:  2.302541732788086
Epoch:  11850 	Loss:  2.30247163772583
Epoch:  11860 	Loss:  2.3025104999542236
Epoch:  11870 	Loss:  2.3027195930480957
Epoch:  11880 	Loss:  2.3025975227355957
Epoch:  11890 	Loss:  2.30265212059021
Epoch:  11900 	Loss:  2.3026137351989746
Epoch:  11910 	Loss:  2.3026130199432373
Epoch:  11920 	Loss:  2.3026652336120605
Epoch:  11930 	Loss:  2.3025617599487305
Epoch:  11940 	Loss:  2.302493095397949
Epoch:  11950 	Loss:  2.3026633262634277
Epoch:  11960 	Loss:  2.3025715351104736
Epoch:  11970 	Loss:  2.302551507949829
Epoch:  11980 	Loss:  2.3025975227355957
Epoch:  11990 	Loss:  2.3026680946350098
Epoch:  12000 	Loss:  2.3026461601257324
Epoch:  12010 	Loss:  2.3025636672973633
Epoch:  12020 	Loss:  2.3027079105377197
Epoch:  12030 	Loss:  2.3025763034820557
Epoch:  12040 	Loss:  2.302551746368408
Epoch:  12050 	Loss:  2.302692413330078
Epoch:  12060 	Loss:  2.302687644958496
Epoch:  12070 	Loss:  2.302565574645996
Epoch:  12080 	Loss:  2.302652359008789
Epoch:  12090 	Loss:  2.3024840354919434
Epoch:  12100 	Loss:  2.302656888961792
Epoch:  12110 	Loss:  2.3025197982788086
Epoch:  12120 	Loss:  2.302623748779297
Epoch:  12130 	Loss:  2.302625894546509
Epoch:  12140 	Loss:  2.302661895751953
Epoch:  12150 	Loss:  2.302576780319214
Epoch:  12160 	Loss:  2.3025763034820557
Epoch:  12170 	Loss:  2.3026347160339355
Epoch:  12180 	Loss:  2.302598714828491
Epoch:  12190 	Loss:  2.3025734424591064
Epoch:  12200 	Loss:  2.302534580230713
Epoch:  12210 	Loss:  2.302651882171631
Epoch:  12220 	Loss:  2.302720069885254
Epoch:  12230 	Loss:  2.3025922775268555
Epoch:  12240 	Loss:  2.3025946617126465
Epoch:  12250 	Loss:  2.302885055541992
Epoch:  12260 	Loss:  2.302623987197876
Epoch:  12270 	Loss:  2.3026061058044434
Epoch:  12280 	Loss:  2.3026623725891113
Epoch:  12290 	Loss:  2.3025991916656494
Epoch:  12300 	Loss:  2.302525520324707
Epoch:  12310 	Loss:  2.3026375770568848
Epoch:  12320 	Loss:  2.3027262687683105
Epoch:  12330 	Loss:  2.302654981613159
Epoch:  12340 	Loss:  2.3026010990142822
Epoch:  12350 	Loss:  2.3025405406951904
Epoch:  12360 	Loss:  2.302534580230713
Epoch:  12370 	Loss:  2.3025717735290527
Epoch:  12380 	Loss:  2.302625894546509
Epoch:  12390 	Loss:  2.3026976585388184
Epoch:  12400 	Loss:  2.302542209625244
Epoch:  12410 	Loss:  2.302658796310425
Epoch:  12420 	Loss:  2.3026113510131836
Epoch:  12430 	Loss:  2.3026580810546875
Epoch:  12440 	Loss:  2.302586078643799
Epoch:  12450 	Loss:  2.3025994300842285
Epoch:  12460 	Loss:  2.302617311477661
Epoch:  12470 	Loss:  2.302654981613159
Epoch:  12480 	Loss:  2.302600383758545
Epoch:  12490 	Loss:  2.3027257919311523
Epoch:  12500 	Loss:  2.3026747703552246
Epoch:  12510 	Loss:  2.3025872707366943
Epoch:  12520 	Loss:  2.3025870323181152
Epoch:  12530 	Loss:  2.3026506900787354
Epoch:  12540 	Loss:  2.3024888038635254
Epoch:  12550 	Loss:  2.302647829055786
Epoch:  12560 	Loss:  2.302590847015381
Epoch:  12570 	Loss:  2.302673101425171
Epoch:  12580 	Loss:  2.302764892578125
Epoch:  12590 	Loss:  2.3025999069213867
Epoch:  12600 	Loss:  2.3025567531585693
Epoch:  12610 	Loss:  2.302574872970581
Epoch:  12620 	Loss:  2.3026022911071777
Epoch:  12630 	Loss:  2.302516460418701
Epoch:  12640 	Loss:  2.302581787109375
Epoch:  12650 	Loss:  2.302579164505005
Epoch:  12660 	Loss:  2.3026745319366455
Epoch:  12670 	Loss:  2.3026533126831055
Epoch:  12680 	Loss:  2.302583932876587
Epoch:  12690 	Loss:  2.3025355339050293
Epoch:  12700 	Loss:  2.30261492729187
Epoch:  12710 	Loss:  2.3026161193847656
Epoch:  12720 	Loss:  2.302661180496216
Epoch:  12730 	Loss:  2.302807331085205
Epoch:  12740 	Loss:  2.302647113800049
Epoch:  12750 	Loss:  2.3025872707366943
Epoch:  12760 	Loss:  2.3025901317596436
Epoch:  12770 	Loss:  2.3026528358459473
Epoch:  12780 	Loss:  2.3026912212371826
Epoch:  12790 	Loss:  2.3026700019836426
Epoch:  12800 	Loss:  2.302590847015381
Epoch:  12810 	Loss:  2.3026068210601807
Epoch:  12820 	Loss:  2.302537441253662
Epoch:  12830 	Loss:  2.3026609420776367
Epoch:  12840 	Loss:  2.3026254177093506
Epoch:  12850 	Loss:  2.302661895751953
Epoch:  12860 	Loss:  2.3027491569519043
Epoch:  12870 	Loss:  2.3025197982788086
Epoch:  12880 	Loss:  2.3028151988983154
Epoch:  12890 	Loss:  2.3026294708251953
Epoch:  12900 	Loss:  2.3026199340820312
Epoch:  12910 	Loss:  2.3026561737060547
Epoch:  12920 	Loss:  2.3026015758514404
Epoch:  12930 	Loss:  2.3025784492492676
Epoch:  12940 	Loss:  2.302603244781494
Epoch:  12950 	Loss:  2.3025903701782227
Epoch:  12960 	Loss:  2.3025472164154053
Epoch:  12970 	Loss:  2.302568197250366
Epoch:  12980 	Loss:  2.3027281761169434
Epoch:  12990 	Loss:  2.3027665615081787
Epoch:  13000 	Loss:  2.3025665283203125
Epoch:  13010 	Loss:  2.302619695663452
Epoch:  13020 	Loss:  2.302563428878784
Epoch:  13030 	Loss:  2.3025150299072266
Epoch:  13040 	Loss:  2.302578926086426
Epoch:  13050 	Loss:  2.302607774734497
Epoch:  13060 	Loss:  2.3026375770568848
Epoch:  13070 	Loss:  2.302621841430664
Epoch:  13080 	Loss:  2.302590847015381
Epoch:  13090 	Loss:  2.302652597427368
Epoch:  13100 	Loss:  2.302589178085327
Epoch:  13110 	Loss:  2.3025574684143066
Epoch:  13120 	Loss:  2.3025805950164795
Epoch:  13130 	Loss:  2.302558660507202
Epoch:  13140 	Loss:  2.3026957511901855
Epoch:  13150 	Loss:  2.3026328086853027
Epoch:  13160 	Loss:  2.302612543106079
Epoch:  13170 	Loss:  2.3026282787323
Epoch:  13180 	Loss:  2.3025784492492676
Epoch:  13190 	Loss:  2.302539348602295
Epoch:  13200 	Loss:  2.3027491569519043
Epoch:  13210 	Loss:  2.3025972843170166
Epoch:  13220 	Loss:  2.3026185035705566
Epoch:  13230 	Loss:  2.3026909828186035
Epoch:  13240 	Loss:  2.3026669025421143
Epoch:  13250 	Loss:  2.3026998043060303
Epoch:  13260 	Loss:  2.3026487827301025
Epoch:  13270 	Loss:  2.302582263946533
Epoch:  13280 	Loss:  2.3026273250579834
Epoch:  13290 	Loss:  2.3026890754699707
Epoch:  13300 	Loss:  2.302654504776001
Epoch:  13310 	Loss:  2.3025898933410645
Epoch:  13320 	Loss:  2.3025667667388916
Epoch:  13330 	Loss:  2.3027234077453613
Epoch:  13340 	Loss:  2.3026700019836426
Epoch:  13350 	Loss:  2.302652359008789
Epoch:  13360 	Loss:  2.3026347160339355
Epoch:  13370 	Loss:  2.3026137351989746
Epoch:  13380 	Loss:  2.3025963306427
Epoch:  13390 	Loss:  2.302518844604492
Epoch:  13400 	Loss:  2.3025732040405273
Epoch:  13410 	Loss:  2.3025991916656494
Epoch:  13420 	Loss:  2.302658796310425
Epoch:  13430 	Loss:  2.302578926086426
Epoch:  13440 	Loss:  2.3025946617126465
Epoch:  13450 	Loss:  2.3025615215301514
Epoch:  13460 	Loss:  2.3026113510131836
Epoch:  13470 	Loss:  2.3026928901672363
Epoch:  13480 	Loss:  2.302528142929077
Epoch:  13490 	Loss:  2.3026633262634277
Epoch:  13500 	Loss:  2.302591562271118
Epoch:  13510 	Loss:  2.3027071952819824
Epoch:  13520 	Loss:  2.3026678562164307
Epoch:  13530 	Loss:  2.3026223182678223
Epoch:  13540 	Loss:  2.3025150299072266
Epoch:  13550 	Loss:  2.3027191162109375
Epoch:  13560 	Loss:  2.302555561065674
Epoch:  13570 	Loss:  2.3025717735290527
Epoch:  13580 	Loss:  2.302670478820801
Epoch:  13590 	Loss:  2.302607536315918
Epoch:  13600 	Loss:  2.3025107383728027
Epoch:  13610 	Loss:  2.3025405406951904
Epoch:  13620 	Loss:  2.3026797771453857
Epoch:  13630 	Loss:  2.3026201725006104
Epoch:  13640 	Loss:  2.30257511138916
Epoch:  13650 	Loss:  2.3026301860809326
Epoch:  13660 	Loss:  2.3026201725006104
Epoch:  13670 	Loss:  2.302534580230713
Epoch:  13680 	Loss:  2.3026063442230225
Epoch:  13690 	Loss:  2.302600383758545
Epoch:  13700 	Loss:  2.302666425704956
Epoch:  13710 	Loss:  2.302638053894043
Epoch:  13720 	Loss:  2.3025574684143066
Epoch:  13730 	Loss:  2.302643299102783
Epoch:  13740 	Loss:  2.30259370803833
Epoch:  13750 	Loss:  2.3028180599212646
Epoch:  13760 	Loss:  2.3025577068328857
Epoch:  13770 	Loss:  2.3025565147399902
Epoch:  13780 	Loss:  2.3026444911956787
Epoch:  13790 	Loss:  2.3025994300842285
Epoch:  13800 	Loss:  2.3026249408721924
Epoch:  13810 	Loss:  2.302574634552002
Epoch:  13820 	Loss:  2.3026211261749268
Epoch:  13830 	Loss:  2.3026113510131836
Epoch:  13840 	Loss:  2.302603244781494
Epoch:  13850 	Loss:  2.3026199340820312
Epoch:  13860 	Loss:  2.302546977996826
Epoch:  13870 	Loss:  2.302565336227417
Epoch:  13880 	Loss:  2.302555561065674
Epoch:  13890 	Loss:  2.3026175498962402
Epoch:  13900 	Loss:  2.302429437637329
Epoch:  13910 	Loss:  2.3025481700897217
Epoch:  13920 	Loss:  2.302621841430664
Epoch:  13930 	Loss:  2.3026623725891113
Epoch:  13940 	Loss:  2.302654266357422
Epoch:  13950 	Loss:  2.302643060684204
Epoch:  13960 	Loss:  2.302670478820801
Epoch:  13970 	Loss:  2.3025901317596436
Epoch:  13980 	Loss:  2.3025593757629395
Epoch:  13990 	Loss:  2.3025333881378174
Epoch:  14000 	Loss:  2.3026201725006104
Epoch:  14010 	Loss:  2.302602529525757
Epoch:  14020 	Loss:  2.302516460418701
Epoch:  14030 	Loss:  2.3026857376098633
Epoch:  14040 	Loss:  2.302549362182617
Epoch:  14050 	Loss:  2.3025572299957275
Epoch:  14060 	Loss:  2.3025989532470703
Epoch:  14070 	Loss:  2.302515745162964
Epoch:  14080 	Loss:  2.302675724029541
Epoch:  14090 	Loss:  2.302687406539917
Epoch:  14100 	Loss:  2.3026132583618164
Epoch:  14110 	Loss:  2.3026282787323
Epoch:  14120 	Loss:  2.302515745162964
Epoch:  14130 	Loss:  2.302649736404419
Epoch:  14140 	Loss:  2.3025033473968506
Epoch:  14150 	Loss:  2.3026700019836426
Epoch:  14160 	Loss:  2.302626371383667
Epoch:  14170 	Loss:  2.3025546073913574
Epoch:  14180 	Loss:  2.3026721477508545
Epoch:  14190 	Loss:  2.3026390075683594
Epoch:  14200 	Loss:  2.302584171295166
Epoch:  14210 	Loss:  2.3026883602142334
Epoch:  14220 	Loss:  2.3025217056274414
Epoch:  14230 	Loss:  2.302647829055786
Epoch:  14240 	Loss:  2.3025686740875244
Epoch:  14250 	Loss:  2.30267071723938
Epoch:  14260 	Loss:  2.302582263946533
Epoch:  14270 	Loss:  2.302588701248169
Epoch:  14280 	Loss:  2.3026654720306396
Epoch:  14290 	Loss:  2.302640914916992
Epoch:  14300 	Loss:  2.3025851249694824
Epoch:  14310 	Loss:  2.302511692047119
Epoch:  14320 	Loss:  2.3026986122131348
Epoch:  14330 	Loss:  2.302635669708252
Epoch:  14340 	Loss:  2.3027021884918213
Epoch:  14350 	Loss:  2.3027119636535645
Epoch:  14360 	Loss:  2.3025593757629395
Epoch:  14370 	Loss:  2.30265736579895
Epoch:  14380 	Loss:  2.3026492595672607
Epoch:  14390 	Loss:  2.3025527000427246
Epoch:  14400 	Loss:  2.302612543106079
Epoch:  14410 	Loss:  2.302617311477661
Epoch:  14420 	Loss:  2.302577018737793
Epoch:  14430 	Loss:  2.3026692867279053
Epoch:  14440 	Loss:  2.3026721477508545
Epoch:  14450 	Loss:  2.3025963306427
Epoch:  14460 	Loss:  2.3026719093322754
Epoch:  14470 	Loss:  2.3027195930480957
Epoch:  14480 	Loss:  2.302652597427368
Epoch:  14490 	Loss:  2.3027443885803223
Epoch:  14500 	Loss:  2.302638292312622
Epoch:  14510 	Loss:  2.3025503158569336
Epoch:  14520 	Loss:  2.3025803565979004
Epoch:  14530 	Loss:  2.3026156425476074
Epoch:  14540 	Loss:  2.3026912212371826
Epoch:  14550 	Loss:  2.3026063442230225
Epoch:  14560 	Loss:  2.3026375770568848
Epoch:  14570 	Loss:  2.302605152130127
Epoch:  14580 	Loss:  2.302604913711548
Epoch:  14590 	Loss:  2.302647113800049
Epoch:  14600 	Loss:  2.30275297164917
Epoch:  14610 	Loss:  2.3025386333465576
Epoch:  14620 	Loss:  2.3026342391967773
Epoch:  14630 	Loss:  2.302647113800049
Epoch:  14640 	Loss:  2.3026368618011475
Epoch:  14650 	Loss:  2.3026657104492188
Epoch:  14660 	Loss:  2.3026509284973145
Epoch:  14670 	Loss:  2.3026723861694336
Epoch:  14680 	Loss:  2.3025176525115967
Epoch:  14690 	Loss:  2.3025591373443604
Epoch:  14700 	Loss:  2.302611827850342
Epoch:  14710 	Loss:  2.3025803565979004
Epoch:  14720 	Loss:  2.3025784492492676
Epoch:  14730 	Loss:  2.3026623725891113
Epoch:  14740 	Loss:  2.3025572299957275
Epoch:  14750 	Loss:  2.302668333053589
Epoch:  14760 	Loss:  2.302598237991333
Epoch:  14770 	Loss:  2.3026585578918457
Epoch:  14780 	Loss:  2.3026061058044434
Epoch:  14790 	Loss:  2.302656650543213
Epoch:  14800 	Loss:  2.3027091026306152
Epoch:  14810 	Loss:  2.3026111125946045
Epoch:  14820 	Loss:  2.3025996685028076
Epoch:  14830 	Loss:  2.3025171756744385
Epoch:  14840 	Loss:  2.3025660514831543
Epoch:  14850 	Loss:  2.302628517150879
Epoch:  14860 	Loss:  2.302626609802246
Epoch:  14870 	Loss:  2.302675247192383
Epoch:  14880 	Loss:  2.302581548690796
Epoch:  14890 	Loss:  2.302687644958496
Epoch:  14900 	Loss:  2.3026211261749268
Epoch:  14910 	Loss:  2.302630662918091
Epoch:  14920 	Loss:  2.30267071723938
Epoch:  14930 	Loss:  2.302577495574951
Epoch:  14940 	Loss:  2.3025808334350586
Epoch:  14950 	Loss:  2.302490234375
Epoch:  14960 	Loss:  2.302577018737793
Epoch:  14970 	Loss:  2.302624225616455
Epoch:  14980 	Loss:  2.302623748779297
Epoch:  14990 	Loss:  2.3026161193847656
Epoch:  15000 	Loss:  2.3025715351104736
Epoch:  15010 	Loss:  2.302603244781494
Epoch:  15020 	Loss:  2.3026232719421387
Epoch:  15030 	Loss:  2.3026621341705322
Epoch:  15040 	Loss:  2.3025097846984863
Epoch:  15050 	Loss:  2.302558660507202
Epoch:  15060 	Loss:  2.302595615386963
Epoch:  15070 	Loss:  2.302638530731201
Epoch:  15080 	Loss:  2.3026082515716553
Epoch:  15090 	Loss:  2.302633762359619
Epoch:  15100 	Loss:  2.302711009979248
Epoch:  15110 	Loss:  2.3027865886688232
Epoch:  15120 	Loss:  2.302595615386963
Epoch:  15130 	Loss:  2.3025736808776855
Epoch:  15140 	Loss:  2.3026530742645264
Epoch:  15150 	Loss:  2.3026225566864014
Epoch:  15160 	Loss:  2.302625894546509
Epoch:  15170 	Loss:  2.3026788234710693
Epoch:  15180 	Loss:  2.302597761154175
Epoch:  15190 	Loss:  2.302536725997925
Epoch:  15200 	Loss:  2.302642583847046
Epoch:  15210 	Loss:  2.302589178085327
Epoch:  15220 	Loss:  2.3027162551879883
Epoch:  15230 	Loss:  2.3027710914611816
Epoch:  15240 	Loss:  2.3025119304656982
Epoch:  15250 	Loss:  2.302640914916992
Epoch:  15260 	Loss:  2.3025596141815186
Epoch:  15270 	Loss:  2.30269193649292
Epoch:  15280 	Loss:  2.3025450706481934
Epoch:  15290 	Loss:  2.3026905059814453
Epoch:  15300 	Loss:  2.3025565147399902
Epoch:  15310 	Loss:  2.3026986122131348
Epoch:  15320 	Loss:  2.302638053894043
Epoch:  15330 	Loss:  2.302649974822998
Epoch:  15340 	Loss:  2.302617073059082
Epoch:  15350 	Loss:  2.302541732788086
Epoch:  15360 	Loss:  2.3026585578918457
Epoch:  15370 	Loss:  2.302786111831665
Epoch:  15380 	Loss:  2.302614450454712
Epoch:  15390 	Loss:  2.302586555480957
Epoch:  15400 	Loss:  2.3025996685028076
Epoch:  15410 	Loss:  2.302554130554199
Epoch:  15420 	Loss:  2.302603244781494
Epoch:  15430 	Loss:  2.3026046752929688
Epoch:  15440 	Loss:  2.3026716709136963
Epoch:  15450 	Loss:  2.302628517150879
Epoch:  15460 	Loss:  2.3026134967803955
Epoch:  15470 	Loss:  2.302628755569458
Epoch:  15480 	Loss:  2.302502393722534
Epoch:  15490 	Loss:  2.3025341033935547
Epoch:  15500 	Loss:  2.3025412559509277
Epoch:  15510 	Loss:  2.302604913711548
Epoch:  15520 	Loss:  2.302589178085327
Epoch:  15530 	Loss:  2.3025858402252197
Epoch:  15540 	Loss:  2.302532196044922
Epoch:  15550 	Loss:  2.3025763034820557
Epoch:  15560 	Loss:  2.302615165710449
Epoch:  15570 	Loss:  2.3025851249694824
Epoch:  15580 	Loss:  2.30254864692688
Epoch:  15590 	Loss:  2.302503824234009
